date,symbol,category,state,trend_score,bottom_score,reversal_score,setup_quality,close,fwd_1d,fwd_5d,fwd_10d,fwd_20d
2025-12-26,AMD,semiconductors,REVERSAL_CONFIRMED,60.5,66.5,70.0,75.0,215.0399932861328,-0.023245812188166237,3.9202047050630906,-5.519901175495878,16.866631977708437
2026-01-20,AMD,semiconductors,STRONG_UPTREND,89.0,62.5,77.5,85.0,231.8300018310547,0.03881997031436324,8.402706972212792,6.22870307007517,-12.40132846177151
2026-02-10,AMD,semiconductors,NEUTRAL,57.5,51.5,54.0,50.0,216.0,-1.124996609157991,-5.981480633770975,-1.0000016954210045,-5.912039015028214
2026-03-04,AMD,semiconductors,DOWNTREND,23.0,28.0,37.5,40.0,190.9499969482422,5.823519535845123,6.431002343836334,2.8070179083607982,6.535740207904706
2026-03-25,AMD,semiconductors,NEUTRAL,53.0,60.5,72.5,90.0,205.3699951171875,7.255202565872021,-0.9446377209578527,12.879199900617632,47.762574217289554
2026-04-16,AMD,semiconductors,STRONG_UPTREND,92.0,55.5,78.5,55.0,258.1199951171875,7.802578269573357,17.565472336734732,30.60204235573196,72.59414552434858
2026-05-07,AMD,semiconductors,STRONG_UPTREND,98.0,62.5,80.5,50.0,421.3900146484375,-3.0684218286820997,5.72153694047004,6.215138236172546,24.160514967003444
2026-05-29,AMD,semiconductors,STRONG_UPTREND,93.0,55.5,78.5,40.0,518.0900268554688,-0.3841130240645252,0.9863122404763169,-5.721016254324884,0.6736262142619021
2026-06-22,AMD,semiconductors,STRONG_UPTREND,89.0,52.5,70.5,70.0,537.3699951171875,2.653666913895192,-2.938381035565696,2.731822172650311,-6.289891155087246
2026-07-14,AMD,semiconductors,UPTREND,84.0,53.5,68.5,85.0,534.3900146484375,2.5711539994650146,-5.767324702819254,-7.380377881378064,-12.131592154186087
2024-09-03,AMZN,technology,NEUTRAL,51.0,52.5,66.5,90.0,178.5,-1.2605042016806678,-1.736698097207634,3.579831590839455,4.3865556476496925
